,Player,Min,90s,xGChain90,xGBuildup90,PrgC90,PrgP90
95,Javier Guerra,927,10.3,0.34,0.21,1.8446601941747571,5.1456310679611645
96,Daniel Guerrero,1,0.0,0.0,0.0,,
97,Ander Guevara,355,3.9,0.24,0.21,0.5128205128205129,5.384615384615385
98,Pape Gueye,776,8.6,0.0,0.0,1.3953488372093024,7.558139534883721
99,Arda Güler,1067,11.9,0.68,0.32,1.7647058823529411,7.394957983193277
100,Gerard Gumbau,235,2.6,0.12,0.0,2.3076923076923075,3.846153846153846
101,Jon Guridi,387,4.3,0.35,0.17,2.0930232558139537,4.651162790697675
102,Haissem Hassan,887,9.9,0.28,0.15,6.565656565656566,2.8282828282828283
103,Yangel Herrera,110,1.2,0.08,0.06,1.6666666666666667,1.6666666666666667
104,Yangel Herrera,88,1.0,0.08,0.06,3.0,2.0
105,Ali Houary,123,1.4,0.04,0.0,1.4285714285714286,2.857142857142857
106,Pablo Ibáñez,909,10.1,0.23,0.17,2.2772277227722775,4.356435643564357
107,Stanis Idumbo,45,0.5,0.0,0.0,8.0,2.0
108,Luka Ilić,538,6.0,0.0,0.0,0.5,2.5
109,Isco,31,0.3,0.42,0.1,6.666666666666667,13.333333333333334
110,Urko Izeta,58,0.6,0.27,0.0,6.666666666666667,1.6666666666666667
111,Jairo Izquierdo,24,0.3,0.0,0.0,3.3333333333333335,0.0
112,Adnan Januzaj,183,2.0,0.26,0.17,5.5,8.5
113,Mikel Jauregizar,1465,16.3,0.28,0.2,0.6134969325153374,6.07361963190184
114,Jofre,318,3.5,0.0,0.0,5.428571428571429,1.4285714285714286
115,Frenkie de Jong,865,9.6,0.93,0.8,3.0208333333333335,8.645833333333334
116,Joan Jordán,15,0.2,4.8,4.8,5.0,15.0
117,Josan,296,3.3,1.07,0.55,3.6363636363636367,3.0303030303030303
118,Mateo Joseph,969,10.8,0.46,0.1,1.2037037037037037,0.8333333333333333
119,Vinicius Júnior,1243,13.8,0.0,0.0,8.043478260869565,4.057971014492753
120,Ferran Jutglà,645,7.2,0.0,0.0,2.2222222222222223,1.3888888888888888
121,Abu Kamara,196,2.2,0.24,0.01,4.090909090909091,1.8181818181818181
122,Jon Karrikaburu,132,1.5,0.4,0.0,0.6666666666666666,0.0
123,Koke,1091,12.1,0.58,0.53,0.1652892561983471,6.528925619834711
124,Luca Koleosho,63,0.7,0.46,0.38,4.285714285714286,2.857142857142857
125,Lancinet Kourouma,33,0.4,0.0,0.0,0.0,0.0
126,Takefusa Kubo,844,9.4,0.47,0.26,4.680851063829787,2.978723404255319
127,Thomas Lemar,250,2.8,0.31,0.05,2.142857142857143,7.500000000000001
128,Adrián Liso,1052,11.7,0.19,0.02,0.9401709401709403,1.1111111111111112
129,Javier Llabrés,126,1.4,0.0,0.0,0.7142857142857143,1.4285714285714286
130,Giovani Lo Celso,856,9.5,0.87,0.56,1.4736842105263157,7.894736842105263
131,Diego López,1127,12.5,0.37,0.08,2.24,2.48
132,Fermin López,587,6.5,0.0,0.0,2.3076923076923075,4.461538461538462
133,Unai López,873,9.7,0.37,0.31,0.9278350515463918,6.5979381443298974
134,Iker Losada,69,0.8,0.49,0.0,0.0,5.0
135,Pol Lozano,1093,12.1,0.23,0.2,0.578512396694215,4.62809917355372
136,Sergio Lozano,12,0.1,0.0,0.0,0.0,20.0
137,José Luis Morales,276,3.1,0.0,0.0,2.258064516129032,6.451612903225806
138,Dodi Lukebakio,180,2.0,0.5,0.13,2.0,3.0
139,Carlos Macià,40,0.4,0.12,0.06,2.5,5.0
140,Pablo Marín,584,6.5,0.23,0.13,2.1538461538461537,2.1538461538461537
141,Iván Martín,1128,12.5,0.35,0.27,1.52,3.84
142,Mario Martín,994,11.0,0.09,0.05,1.3636363636363635,1.9090909090909092
143,Arnau Martinez,952,10.6,0.38,0.37,1.4150943396226416,3.867924528301887
144,Pablo Martínez,526,5.8,0.48,0.24,1.3793103448275863,3.4482758620689657
145,Omar Mascarell,638,7.1,0.33,0.27,0.8450704225352114,3.6619718309859155
146,Brais Méndez,981,10.9,0.54,0.28,1.7431192660550459,6.238532110091743
147,Rodrigo Mendoza,647,7.2,0.33,0.24,2.361111111111111,3.333333333333333
148,Batista Mendy,883,9.8,0.26,0.22,1.0204081632653061,2.142857142857143
149,Luis Milla,1304,14.5,0.18,0.09,1.0344827586206897,4.551724137931035
150,Pere Milla,1004,11.2,0.52,0.15,1.6071428571428572,2.9464285714285716
151,Óscar Mingueza,855,9.5,0.67,0.53,1.263157894736842,5.157894736842105
152,Rafa Mir,1142,12.7,0.43,0.12,1.1811023622047245,2.677165354330709
153,Alberto Moleiro,905,10.1,0.59,0.17,3.1683168316831685,3.1683168316831685
154,Jon Moncayola,1391,15.5,0.26,0.14,1.032258064516129,4.903225806451613
155,Diego Morcillo,10,0.1,7.65,1.27,0.0,10.0
156,Ilaix Moriba,1032,11.5,0.39,0.27,0.9565217391304348,4.3478260869565215
157,Manu Morlanes,780,8.7,0.0,0.0,1.264367816091954,5.74712643678161
158,Iker Muñoz,279,3.1,0.12,0.11,0.6451612903225806,3.5483870967741935
159,Javier Muñoz,179,2.0,0.0,0.0,1.0,1.5
160,Víctor Muñoz,1127,12.5,0.27,0.1,3.84,0.64
161,Roberto Navarro,528,5.9,0.42,0.19,3.389830508474576,2.2033898305084745
162,Martim Neto,619,6.9,0.39,0.28,3.043478260869565,5.36231884057971
163,Yvan Neyou,67,0.7,0.0,0.0,0.0,4.285714285714286
164,Olasagasti,450,5.0,0.0,0.0,1.4,4.2
165,Dani Olmo,834,9.3,1.06,0.57,2.043010752688172,5.698924731182795
166,Aimar Oroz,687,7.6,0.28,0.17,3.0263157894736845,4.868421052631579
167,Asier Osambela,211,2.3,0.08,0.06,1.3043478260869565,4.347826086956522
